"USAF","WBAN","STNID","STN_NAME","CTRY","STATE","CALL","LAT","LON","ELEV_M","ELEV_M_SRTM_90m","BEGIN","END","YEARMODA","YEAR","MONTH","DAY","YDAY","TEMP","TEMP_CNT","DEWP","DEWP_CNT","SLP","SLP_CNT","STP","STP_CNT","VISIB","VISIB_CNT","WDSP","WDSP_CNT","MXSPD","GUST","MAX","MAX_FLAG","MIN","MIN_FLAG","PRCP","PRCP_FLAG","SNDP","I_FOG","I_RAIN_DRIZZLE","I_SNOW_ICE","I_HAIL","I_THUNDER","I_TORNADO_FUNNEL","EA","ES","RH"
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-07,"2012","05","07",128,6.9,24,0.8,24,1019.1,24,1012.7,24,NA,0,1.5,24,2.6,NA,11.5,NA,3.2,NA,0,"I",NA,0,0,0,0,0,0,0.6,1,60
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-08,"2012","05","08",129,10.4,21,5.6,21,1014.3,21,1008.1,21,NA,0,3.1,21,6.7,NA,15.1,NA,2.5,NA,0,"I",NA,0,0,0,0,0,0,0.9,1.3,69.2
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-09,"2012","05","09",130,13.3,24,11.2,24,1011,24,1004.9,24,NA,0,3,24,4.6,NA,15.6,NA,11.9,"*",9.4,"F",NA,0,0,0,0,0,0,1.3,1.5,86.7
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-10,"2012","05","10",131,14.4,24,13.6,24,1012.7,24,1006.5,24,NA,0,5,24,8.2,NA,16.8,NA,11.2,NA,9.9,"F",NA,0,0,0,0,0,0,1.6,1.6,100
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-11,"2012","05","11",132,12.7,24,10.2,24,1013.4,24,1007.2,24,NA,0,7.9,24,11.3,NA,16.6,NA,6.7,"*",2,"E",NA,0,0,0,0,0,0,1.2,1.5,80
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-12,"2012","05","12",133,7.8,24,2.6,24,1024.2,24,1017.8,24,NA,0,7.9,24,10.8,NA,10.7,NA,6.2,NA,0.5,"E",NA,0,0,0,0,0,0,0.7,1.1,63.6
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-13,"2012","05","13",134,8.4,24,3.4,24,1027.1,24,1020.8,24,NA,0,4.1,24,5.7,NA,12.5,NA,4.1,NA,0,"I",NA,0,0,0,0,0,0,0.8,1.1,72.7
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-14,"2012","05","14",135,10.2,23,4.3,23,1016.2,23,1009.9,23,NA,0,4.4,23,8.2,NA,13.2,NA,6.8,NA,0,"I",NA,0,0,0,0,0,0,0.8,1.2,66.7
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-15,"2012","05","15",136,9.9,24,6.4,24,1007.4,24,1001.2,24,NA,0,2.2,24,5.1,NA,15.1,NA,5.4,NA,0,"E",NA,0,0,0,0,0,0,1,1.2,83.3
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-16,"2012","05","16",137,7.2,24,4.9,24,1010.7,24,1004.5,24,NA,0,5.7,24,8.7,NA,9.5,NA,5.3,"*",1,"E",NA,0,0,0,0,0,0,0.9,1,90
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-17,"2012","05","17",138,7.2,23,2.3,23,1016.4,23,1010.1,23,NA,0,5.7,23,8.7,NA,11.1,NA,4,NA,0,"E",NA,0,0,0,0,0,0,0.7,1,70
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-18,"2012","05","18",139,10.4,24,4.4,24,1015.2,24,1009,24,NA,0,3.3,24,5.7,NA,15.3,NA,2.5,NA,0,"I",NA,0,0,0,0,0,0,0.8,1.3,61.5
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-19,"2012","05","19",140,13.1,23,8.8,23,1013.3,23,1007.2,23,NA,0,2.3,23,3.6,NA,18.5,NA,9.4,NA,0.5,"E",NA,0,0,0,0,0,0,1.1,1.5,73.3
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-20,"2012","05","20",141,15.6,24,10.7,24,1011.7,24,1005.6,24,NA,0,2.5,24,4.1,NA,21.1,NA,9.4,NA,0,"I",NA,0,0,0,0,0,0,1.3,1.8,72.2
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-21,"2012","05","21",142,17.9,24,13.3,24,1007.8,24,1001.8,24,NA,0,3.8,24,5.7,NA,24.9,NA,10.5,NA,0,"I",NA,0,0,0,0,0,0,1.5,2.1,71.4
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-22,"2012","05","22",143,18.8,23,15.4,23,1013.9,23,1007.8,23,NA,0,3.3,23,4.6,NA,24,NA,14.3,NA,0,"I",NA,0,0,0,0,0,0,1.7,2.2,77.3
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-23,"2012","05","23",144,17.7,21,12.8,21,1025.9,21,1019.8,21,NA,0,3.4,21,5.1,NA,23.2,"*",12.1,"*",0,"I",NA,0,0,0,0,0,0,1.5,2,75
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-24,"2012","05","24",145,15.4,18,8.5,18,1032.6,18,1026.4,18,NA,0,1.4,18,3.6,NA,21.8,NA,8.8,NA,0,"I",NA,0,0,0,0,0,0,1.1,1.7,64.7
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-25,"2012","05","25",146,17.1,22,10.7,22,1030.2,22,1024,22,NA,0,1.6,22,3.6,NA,22.5,NA,10.2,NA,0,"I",NA,0,0,0,0,0,0,1.3,1.9,68.4
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-26,"2012","05","26",147,17.9,24,12.1,24,1025.5,24,1019.4,24,NA,0,1.6,24,3.1,NA,24.6,NA,9.4,NA,0,"I",NA,0,0,0,0,0,0,1.4,2.1,66.7
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-27,"2012","05","27",148,17.3,24,9.8,24,1021.6,24,1015.5,24,NA,0,2.4,24,3.1,NA,22.6,NA,13.1,NA,0,"I",NA,0,0,0,0,0,0,1.2,2,60
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-28,"2012","05","28",149,17.9,24,9.8,24,1012.4,24,1006.4,24,NA,0,4.4,24,6.7,NA,23.8,NA,11.6,"*",0,"I",NA,0,0,0,0,0,0,1.2,2.1,57.1
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-29,"2012","05","29",150,11.3,9,7.1,9,1011,9,1004.8,9,NA,0,4.6,9,7.2,NA,19.9,NA,9,NA,0,"I",NA,0,0,0,0,0,0,1,1.3,76.9
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-30,"2012","05","30",151,11,19,3.8,19,1015.3,19,1009.1,19,NA,0,4.1,19,6.2,NA,13.8,NA,9,"*",0,"I",NA,0,0,0,0,0,0,0.8,1.3,61.5
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-31,"2012","05","31",152,10.5,24,4.3,24,1013.5,24,1007.3,24,NA,0,3.8,24,6.2,NA,13.9,NA,8,"*",0,"I",NA,0,0,0,0,0,0,0.8,1.3,61.5
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-01,"2012","06","01",153,9.5,22,0.4,22,1009.9,22,1003.7,22,NA,0,7.3,22,11.3,NA,13.6,NA,5.7,"*",0,"I",NA,0,0,0,0,0,0,0.6,1.2,50
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-02,"2012","06","02",154,9,23,0.8,23,1010.5,23,1004.3,23,NA,0,5.7,23,8.2,NA,13.6,NA,4.8,NA,0,"I",NA,0,0,0,0,0,0,0.6,1.1,54.5
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-03,"2012","06","03",155,9.2,24,1.9,24,1006.8,24,1000.6,24,NA,0,4.8,24,7.2,NA,13.9,NA,3.4,NA,0,"I",NA,0,0,0,0,0,0,0.7,1.2,58.3
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-04,"2012","06","04",156,10.1,24,5.2,24,1007,24,1000.8,24,NA,0,4.6,24,7.2,NA,13.7,NA,5.8,NA,0,"I",NA,0,0,0,0,0,0,0.9,1.2,75
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-05,"2012","06","05",157,10,23,4.2,23,1012.8,23,1006.6,23,NA,0,4.5,23,7.2,NA,14.1,NA,6.3,"*",0,"I",NA,0,0,0,0,0,0,0.8,1.2,66.7
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-06,"2012","06","06",158,10.9,23,6.1,23,1010.4,23,1004.2,23,NA,0,2.8,23,4.6,NA,15,NA,6,NA,0,"I",NA,0,0,0,0,0,0,0.9,1.3,69.2
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-07,"2012","06","07",159,12.5,24,10,24,1006.5,24,1000.4,24,NA,0,3.3,24,4.6,NA,15.8,NA,9.6,NA,1,"E",NA,0,0,0,0,0,0,1.2,1.4,85.7
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-08,"2012","06","08",160,14.1,24,11.8,24,1003.7,24,997.7,24,NA,0,3.3,24,5.1,NA,19.5,NA,10.9,NA,10.9,"F",NA,0,0,0,0,0,0,1.4,1.6,87.5
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-09,"2012","06","09",161,12.4,23,9.3,23,1007.4,23,1001.3,23,NA,0,5.2,23,6.7,NA,16.2,NA,10.6,NA,0.8,"F",NA,0,0,0,0,0,0,1.2,1.4,85.7
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-10,"2012","06","10",162,12,24,10.3,24,1006.8,24,1000.7,24,NA,0,5.7,24,8.2,NA,13.1,NA,11.1,NA,1.3,"F",NA,0,0,0,0,0,0,1.3,1.4,92.9
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-11,"2012","06","11",163,13.2,24,10.3,24,1005.5,24,999.4,24,NA,0,2.5,24,4.1,NA,17.8,NA,10.1,"*",0,"I",NA,0,0,0,0,0,0,1.3,1.5,86.7
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-12,"2012","06","12",164,12.8,24,10.6,24,1005.1,24,999.1,24,NA,0,1.4,24,3.6,NA,17.3,NA,7.3,NA,0,"I",NA,0,0,0,0,0,0,1.3,1.5,86.7
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-13,"2012","06","13",165,10.9,13,8.2,13,1009.4,13,1003.2,13,NA,0,3,13,6.2,NA,16.1,NA,8.1,NA,0,"I",NA,0,0,0,0,0,0,1.1,1.3,84.6
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-14,"2012","06","14",166,10.6,8,6.2,8,1017.6,8,1011.4,8,NA,0,3.1,8,4.1,NA,13.3,NA,7.8,NA,0,"I",NA,0,0,0,0,0,0,0.9,1.3,69.2
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-15,"2012","06","15",167,13.8,20,9.4,20,1015.7,20,1009.6,20,NA,0,3.3,20,5.1,NA,18.2,NA,2.8,NA,1,"E",NA,0,0,0,0,0,0,1.2,1.6,75
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-16,"2012","06","16",168,14.8,23,12.6,23,1012,23,1005.9,23,NA,0,3.1,23,4.6,NA,19,NA,11.3,"*",7.4,"F",NA,0,0,0,0,0,0,1.5,1.7,88.2
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-17,"2012","06","17",169,13.4,24,10.6,24,1016.2,24,1010,24,NA,0,5.3,24,8.7,NA,16.5,NA,10.3,"*",5.1,"F",NA,0,0,0,0,0,0,1.3,1.5,86.7
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-18,"2012","06","18",170,13.3,23,11.3,23,1015.7,23,1009.5,23,NA,0,3.3,23,7.2,NA,18.7,NA,9.7,"*",9.9,"E",NA,0,0,0,0,0,0,1.3,1.5,86.7
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-19,"2012","06","19",171,12.8,16,9.7,16,1020.6,16,1014.3,16,NA,0,2.2,16,3.1,NA,18,NA,8,NA,0,"E",NA,0,0,0,0,0,0,1.2,1.5,80
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-20,"2012","06","20",172,14.1,8,10.4,8,1019.7,8,1013.6,8,NA,0,2.3,8,3.6,NA,18.3,NA,8.9,NA,0,"I",NA,0,0,0,0,0,0,1.3,1.6,81.2
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-21,"2012","06","21",173,15.4,8,9.9,8,1016.2,8,1010.1,8,NA,0,3.5,8,5.7,NA,20.6,NA,8.5,NA,0,"I",NA,0,0,0,0,0,0,1.2,1.7,70.6
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-22,"2012","06","22",174,14.6,14,11.4,14,1014.9,14,1008.8,14,NA,0,3.1,14,5.7,NA,19.6,NA,11.9,"*",14,"F",NA,0,0,0,0,0,0,1.3,1.7,76.5
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-23,"2012","06","23",175,14.6,23,10.7,23,1017.7,23,1011.6,23,NA,0,5.2,23,9.3,NA,17.6,NA,12.4,"*",0.5,"E",NA,0,0,0,0,0,0,1.3,1.7,76.5
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-24,"2012","06","24",176,12.3,24,10.9,24,1009.3,24,1003.2,24,NA,0,3.5,24,5.1,NA,15.1,NA,10.5,"*",17,"E",NA,0,0,0,0,0,0,1.3,1.4,92.9
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-25,"2012","06","25",177,12.9,24,10.3,24,1004.3,24,998.2,24,NA,0,5.6,24,7.2,NA,16.2,NA,10.1,NA,8.9,"E",NA,0,0,0,0,0,0,1.3,1.5,86.7
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-26,"2012","06","26",178,12.9,24,9.3,24,1013.4,24,1007.2,24,NA,0,6.5,24,9.8,NA,17.1,NA,10.5,"*",0,"I",NA,0,0,0,0,0,0,1.2,1.5,80
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-27,"2012","06","27",179,13.2,24,9.2,24,1014.6,24,1008.4,24,NA,0,4.1,24,6.2,NA,18.2,NA,9.3,NA,0,"I",NA,0,0,0,0,0,0,1.2,1.5,80
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-28,"2012","06","28",180,14.1,24,9.8,24,1012.5,24,1006.4,24,NA,0,1.5,24,3.1,NA,18.6,NA,6.7,NA,0,"I",NA,0,0,0,0,0,0,1.2,1.6,75
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-29,"2012","06","29",181,17.4,22,15.6,22,1008,22,1002,22,NA,0,3,22,5.7,NA,23,NA,14.7,"*",42.2,"F",NA,0,0,0,0,0,0,1.8,2,90
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-06-30,"2012","06","30",182,17.6,24,14.1,24,1011.4,24,1005.4,24,NA,0,2.5,24,5.1,NA,22.2,NA,13.1,NA,5.1,"F",NA,0,0,0,0,0,0,1.6,2,80
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-07-01,"2012","07","01",183,16.3,19,12.4,19,1011.8,19,1005.7,19,NA,0,4.5,19,8.7,NA,21.7,NA,11.9,"*",4.1,"E",NA,0,0,0,0,0,0,1.4,1.9,73.7
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-07-02,"2012","07","02",184,15.3,24,11.6,24,1019.7,24,1013.6,24,NA,0,3.2,24,5.1,NA,19.7,NA,11.3,NA,0,"I",NA,0,0,0,0,0,0,1.4,1.7,82.4
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-07-03,"2012","07","03",185,16.5,24,11.5,24,1019.8,24,1013.7,24,NA,0,2.5,24,4.6,NA,20.9,NA,9.6,NA,0,"I",NA,0,0,0,0,0,0,1.4,1.9,73.7
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-07-04,"2012","07","04",186,17.3,24,11.3,24,1018.3,24,1012.2,24,NA,0,2.9,24,4.6,NA,21.2,NA,12.6,NA,0,"I",NA,0,0,0,0,0,0,1.3,2,65
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-07-05,"2012","07","05",187,17.8,23,14.6,23,1016.4,23,1010.3,23,NA,0,3.3,23,4.6,NA,21.5,NA,12.7,NA,0,"I",NA,0,0,0,0,0,0,1.7,2,85
