"Timestamp","Year","Day","boxNumber","species","stage","nEggs","nLiveChicks","nDeadChicks","eggStatus","chickStatus","adultStatus","finalStatus","Comments","observerID"
"2013-05-26",2013,146,3,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-29",2013,119,3,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-17",2013,168,3,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"ORJ"
"2013-06-11",2013,162,3,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-14",2013,134,3,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-18",2013,169,3,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-07-16",2013,197,3,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-23",2013,143,3,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-05",2013,156,3,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-07-02",2013,183,3,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-26",2013,116,3,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"ORJ, LDG"
"2013-05-07",2013,127,3,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-03",2013,123,3,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-17",2013,107,3,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-25",2013,176,3,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-22",2013,112,3,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"JL, RSP"
"2013-04-09",2013,99,3,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-25",2013,176,4,NA,"NE",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-18",2013,169,4,"GT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-07-16",2013,197,4,"GT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-04-22",2013,112,4,"GT","N2",0,0,0,NA,NA,NA,NA,NA,"JL, RSP"
"2013-04-29",2013,119,4,"GT","NL",0,0,0,NA,NA,NA,NA,"deer hairs, moss, wool, feathers","AMK"
"2013-04-26",2013,116,4,"GT","NL",0,0,0,NA,NA,NA,NA,NA,"ORJ, LDG"
"2013-05-23",2013,143,4,"GT","NL",10,0,0,"UN, WA",NA,"FN",NA,NA,"AMK"
"2013-05-07",2013,127,4,"GT","NL",5,0,0,"CO, CV",NA,NA,NA,NA,"AMK"
"2013-05-14",2013,134,4,"GT","NL",10,0,0,"UN, WA",NA,NA,NA,NA,"AMK"
"2013-06-11",2013,162,4,"GT","NL",0,9,0,NA,"RF","AV",NA,NA,"AMK"
"2013-04-17",2013,107,4,"GT","RO",0,0,0,NA,NA,"AT",NA,NA,"AMK"
"2013-05-03",2013,123,4,"GT","NL",2,0,0,"CO, CV",NA,"FN",NA,NA,"AMK"
"2013-04-09",2013,99,4,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-30",2013,150,4,"GT","NL",0,9,0,NA,"IP",NA,NA,NA,"AMK"
"2013-07-02",2013,183,4,NA,"NE",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-26",2013,146,4,"GT","NL",10,0,0,"UN, WA",NA,"FN",NA,NA,"AMK"
"2013-06-17",2013,168,4,"GT","NE",0,0,0,NA,NA,NA,NA,NA,"ORJ"
"2013-06-05",2013,156,4,"GT","NL",0,9,0,NA,"FS",NA,NA,NA,"AMK"
"2013-05-31",2013,151,4,"GT","NL",0,9,0,NA,"EY, IP","MV",NA,"Ringes used 9Z15075-083","JL, CECILE, SHRUTI"
"2013-06-14",2013,165,5,"BT","NL",NA,8,0,NA,"FL, YR","PV",NA,"Rings - 9R41179-86","JL"
"2013-05-23",2013,143,5,"BT","NL",8,0,0,NA,NA,"FN",NA,NA,"AMK"
"2013-04-26",2013,116,5,"BT","N2",0,0,0,NA,NA,NA,NA,NA,"ORJ, LDG"
"2013-06-17",2013,168,5,"BT","NL",1,4,0,"CO, UN","FL",NA,NA,NA,"ORJ"
"2013-06-05",2013,156,5,"BT","NL",NA,3,0,NA,NA,"FN",NA,"angry, defending female","AMK"
"2013-06-18",2013,169,5,"BT","NL",1,0,0,"CO, UN",NA,NA,"NE",NA,"AMK"
"2013-07-16",2013,197,5,"BT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-04-17",2013,107,5,"BT","N3",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-03",2013,123,5,"BT","N4",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-07-02",2013,183,5,"BT","NE",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-07",2013,127,5,"BT","N3",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-30",2013,150,5,"BT","NL",2,1,0,"WA, CV","NK, BL","FN",NA,"defending female","AMK"
"2013-06-11",2013,162,5,"BT","NL",NA,8,0,NA,"FM","AV",NA,NA,"AMK"
"2013-06-25",2013,176,5,"BT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-04-29",2013,119,5,"BT","N4",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-22",2013,112,5,"BT","N3",0,0,0,NA,NA,NA,NA,NA,"JL, RSP"
"2013-04-09",2013,99,5,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-14",2013,134,5,"BT","NL",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-26",2013,146,5,"BT","NL",8,0,0,NA,NA,"FN",NA,NA,"AMK"
"2013-04-17",2013,107,6,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-25",2013,176,6,"GT","NE",0,NA,0,NA,NA,NA,"NE",NA,"AMK"
"2013-07-02",2013,183,6,"GT","NE",0,NA,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-30",2013,150,6,"GT","NL",0,6,0,NA,"NK, BL",NA,NA,NA,"AMK"
"2013-06-05",2013,156,6,"GT","NL",0,6,0,NA,"BL, FS",NA,NA,NA,"AMK"
"2013-04-26",2013,116,6,"GT","NL",0,0,0,NA,NA,NA,NA,NA,"ORJ, LDG"
"2013-05-03",2013,123,6,"GT","NL",1,0,0,"CO, CV",NA,"FN",NA,NA,"AMK"
"2013-05-26",2013,146,6,"GT","NL",0,0,0,NA,NA,"FN",NA,NA,"AMK"
"2013-04-09",2013,99,6,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-29",2013,119,6,"GT","NL",0,0,0,NA,NA,"FN",NA,NA,"AMK"
"2013-05-07",2013,127,6,"GT","NL",4,0,0,"CO, CV",NA,NA,NA,NA,"AMK"
"2013-05-14",2013,134,6,"GT","NL",8,0,0,"UN, WA",NA,"FN",NA,NA,"AMK"
"2013-06-11",2013,162,6,"GT","NL",0,6,0,NA,"FL",NA,NA,NA,"AMK"
"2013-06-17",2013,168,6,"GT","NE",0,NA,0,NA,NA,NA,"NE",NA,"ORJ"
"2013-07-16",2013,197,6,"GT","NE",0,NA,0,NA,NA,NA,"NE",NA,"AMK"
"2013-04-22",2013,112,6,"GT","N1",0,0,0,NA,NA,"AN",NA,NA,"JL, RSP"
"2013-05-23",2013,143,6,"GT","NL",0,0,0,NA,NA,"FN",NA,NA,"AMK"
"2013-06-18",2013,169,6,"GT","NE",0,NA,0,NA,NA,NA,"NE",NA,"AMK"
"2013-05-30",2013,150,7,"GT","NL",0,9,0,NA,"NK, BL","FN",NA,NA,"AMK"
"2013-07-16",2013,197,7,"GT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-06-18",2013,169,7,"GT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-05-03",2013,123,7,"GT","NL",0,0,0,NA,NA,"FN",NA,NA,"AMK"
"2013-05-07",2013,127,7,"GT","NL",4,0,0,"CO, CV",NA,NA,NA,NA,"AMK"
"2013-07-02",2013,183,7,"GT","NE",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-14",2013,134,7,"GT","NL",9,0,0,"WA",NA,"FN",NA,NA,"AMK"
"2013-04-29",2013,119,7,"GT","NL",0,0,0,NA,NA,"FN",NA,NA,"AMK"
"2013-06-11",2013,162,7,"GT","NL",0,9,0,NA,"RF","FN",NA,NA,"AMK"
"2013-04-26",2013,116,7,"GT","N4",0,0,0,NA,NA,NA,NA,NA,"ORJ, LDG"
"2013-05-23",2013,143,7,"GT","NL",0,0,0,NA,NA,"FN",NA,NA,"AMK"
"2013-06-05",2013,156,7,"GT","NL",0,9,0,NA,"IP",NA,NA,NA,"AMK"
"2013-04-09",2013,99,7,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-22",2013,112,7,"GT","N1",0,0,0,NA,NA,NA,NA,NA,"JL, RSP"
"2013-06-25",2013,176,7,"GT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-04-17",2013,107,7,"GT","RO",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-17",2013,168,7,"GT","NE",0,0,0,NA,NA,NA,NA,NA,"ORJ"
"2013-05-26",2013,146,7,"GT","NL",0,0,0,NA,NA,"FN",NA,NA,"AMK"
"2013-04-26",2013,116,8,"GT","NL",0,0,0,NA,NA,NA,NA,NA,"ORJ, LDG"
"2013-05-23",2013,143,8,"GT","NL",6,0,0,"CO, UN",NA,NA,NA,NA,"AMK"
"2013-05-26",2013,146,8,"GT","NL",6,0,0,"CO, UN",NA,NA,NA,NA,"AMK"
"2013-05-14",2013,134,8,"GT","NL",6,0,0,"CO, UN",NA,NA,NA,NA,"AMK"
"2013-04-22",2013,112,8,"GT","N1",0,0,0,NA,NA,NA,NA,NA,"JL, RSP"
"2013-04-29",2013,119,8,"GT","NL",0,0,0,NA,NA,"FN",NA,NA,"AMK"
"2013-06-18",2013,169,8,"GT","NL",6,0,0,"CO, UN",NA,NA,NA,NA,"AMK"
"2013-07-16",2013,197,8,"GT","NL",4,0,0,"CO, UN",NA,NA,NA,NA,"AMK"
"2013-06-25",2013,176,8,"GT","NL",6,0,0,"CO, UN",NA,NA,NA,NA,"AMK"
"2013-07-02",2013,183,8,"GT","NL",4,0,0,"CO, UN",NA,NA,NA,NA,"AMK"
"2013-06-17",2013,168,8,"GT","NL",6,0,0,"CO, UN",NA,NA,NA,NA,"ORJ"
"2013-04-09",2013,99,8,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-17",2013,107,8,"GT","RO",0,0,0,NA,NA,"AT",NA,NA,"AMK"
"2013-06-11",2013,162,8,"GT","NL",6,0,0,"CO, UN",NA,NA,NA,NA,"AMK"
"2013-05-07",2013,127,8,"GT","NL",6,0,0,"CO, UN",NA,NA,NA,NA,"AMK"
"2013-06-05",2013,156,8,"GT","NL",6,0,0,"CO, UN",NA,NA,NA,NA,"AMK"
"2013-05-03",2013,123,8,"GT","NL",2,0,0,"CO, UN",NA,"FN",NA,NA,"AMK"
"2013-04-26",2013,116,9,"GT","N1",0,0,0,NA,NA,NA,NA,NA,"ORJ, LDG"
"2013-04-22",2013,112,9,NA,"RO",0,0,0,NA,NA,NA,NA,NA,"JL, RSP"
"2013-06-25",2013,176,9,"GT","NE",2,0,0,"CO, UN",NA,NA,"NE",NA,"AMK"
"2013-05-23",2013,143,9,"GT","NL",NA,0,0,NA,NA,"FN",NA,NA,"AMK"
"2013-05-30",2013,150,9,"GT","NL",NA,0,0,NA,NA,"FN",NA,NA,"AMK"
"2013-05-07",2013,127,9,"GT","NL",1,0,0,"CO, CV",NA,NA,NA,NA,"AMK"
"2013-07-02",2013,183,9,"GT","NE",2,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-06-14",2013,165,9,"GT","NL",2,2,NA,"CO","FL, YR","MV, FN",NA,"Ringed - 9z15296-7; Adult female, 2k wing 73, weight 17,5, AX57312","JL"
"2013-05-14",2013,134,9,"GT","NL",8,0,0,"CO, CV",NA,NA,NA,NA,"AMK"
"2013-06-05",2013,156,9,"GT","NL",6,2,NA,"UN, WA","NK, BL","AV",NA,NA,"AMK"
"2013-06-17",2013,168,9,"GT","NE",2,0,0,"WA",NA,NA,"NE",NA,"ORJ"
"2013-04-17",2013,107,9,NA,"RO",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-18",2013,169,9,"GT","NE",2,0,0,"CO, UN",NA,NA,"NE",NA,"AMK"
"2013-07-16",2013,197,9,"GT","NE",2,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-05-26",2013,146,9,"GT","NL",NA,0,0,NA,NA,"FN",NA,NA,"AMK"
"2013-04-09",2013,99,9,NA,"RO",0,0,0,NA,NA,"AV",NA,NA,"AMK"
"2013-06-11",2013,162,9,"GT","NL",5,2,0,"WA","FM",NA,NA,NA,"AMK"
"2013-05-03",2013,123,9,"GT","N4",0,0,0,NA,NA,"AN",NA,NA,"AMK"
"2013-04-29",2013,119,9,"GT","N1",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-17",2013,107,10,"GT","RO",0,0,0,NA,NA,"AT",NA,NA,"AMK"
"2013-05-14",2013,134,10,"GT","N3",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-18",2013,169,10,"GT","NL",NA,0,0,NA,NA,"FN",NA,NA,"AMK"
"2013-04-29",2013,119,10,"GT","N4",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-03",2013,123,10,"GT","N3",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-05",2013,156,10,"GT","N4",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-23",2013,143,10,"GT","N3",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-26",2013,146,10,"GT","N3",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-11",2013,162,10,"GT","NL",NA,0,0,NA,NA,"FN",NA,NA,"AMK"
"2013-07-08",2013,189,10,"GT","NL",0,3,NA,NA,"FM, YR","AV",NA,"Rings - 9Z15334-36","JL"
"2013-06-17",2013,168,10,"GT","NL",NA,NA,NA,NA,NA,"FN",NA,NA,"ORJ"
"2013-04-09",2013,99,10,"GT","RO",0,0,0,NA,NA,"AV",NA,NA,"AMK"
"2013-07-06",2013,187,10,"GT","NL",0,4,0,NA,"FM",NA,NA,NA,"AMK"
"2013-06-05",2013,156,10,"GT","N4",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-07-02",2013,183,10,"GT","NL",0,4,0,NA,"FM",NA,NA,NA,"AMK"
"2013-04-26",2013,116,10,"GT","N2",0,0,0,NA,NA,NA,NA,NA,"ORJ, LDG"
"2013-07-12",2013,193,10,"GT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-04-22",2013,112,10,"GT","N1",0,0,0,NA,NA,NA,NA,NA,"JL, RSP"
"2013-07-16",2013,197,10,"GT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-06-25",2013,176,10,"GT","NL",NA,1,NA,NA,"NK, BL","FN",NA,"chick was just hatched","AMK"
"2013-05-07",2013,127,10,"GT","N3",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-18",2013,169,11,NA,"N4",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-29",2013,119,11,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-25",2013,176,11,NA,"N4",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-07-16",2013,197,11,NA,"N3",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-05",2013,156,11,NA,"N4",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-17",2013,107,11,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-26",2013,146,11,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-07",2013,127,11,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-23",2013,143,11,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-26",2013,116,11,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"ORJ, LDG"
"2013-04-22",2013,112,11,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"JL, RSP"
"2013-05-14",2013,134,11,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-09",2013,99,11,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-07-02",2013,183,11,NA,"N4",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-11",2013,162,11,NA,"N4",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-25",2013,176,12,"GT","NL",0,5,0,NA,"NK, BL",NA,NA,NA,"AMK"
"2013-07-12",2013,193,12,"GT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-06-17",2013,168,12,"GT","NL",6,0,0,"UN, WA",NA,"FN",NA,NA,"JL, OJ, JULIA"
"2013-07-16",2013,197,12,"GT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-04-29",2013,119,12,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-07-02",2013,183,12,"GT","NL",0,4,1,NA,"FM",NA,NA,"decay scent","AMK"
"2013-07-08",2013,189,12,"GT","NL",0,2,0,NA,"FL, YR","PV",NA,"Rings - 9Z15337-38","JL"
"2013-06-18",2013,169,12,"GT","NL",NA,0,0,NA,NA,"FN",NA,NA,"AMK"
"2013-05-23",2013,143,12,"GT","N1",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-26",2013,116,12,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"ORJ, LDG"
"2013-04-22",2013,112,12,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"JL, RSP"
"2013-05-03",2013,123,12,"GT","N1",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-11",2013,162,12,"GT","NL",NA,0,0,NA,NA,"FN",NA,NA,"AMK"
"2013-05-26",2013,146,12,"GT","N1",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-09",2013,99,12,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-07-06",2013,187,12,"GT","NL",0,3,1,NA,"FL","PV",NA,"decay scent","AMK"
"2013-05-07",2013,127,12,"GT","N1",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-05",2013,156,12,"GT","NL",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-14",2013,134,12,"GT","N1",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-17",2013,107,12,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-14",2013,134,13,"GT","NL",NA,NA,0,NA,NA,"AN",NA,NA,"AMK"
"2013-04-26",2013,116,13,"GT","NL",5,0,0,"CO, CV",NA,NA,NA,NA,"ORJ, LDG"
"2013-05-03",2013,123,13,"GT","NL",10,0,0,NA,NA,"FN",NA,NA,"AMK"
"2013-07-16",2013,197,13,"GT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-05-07",2013,127,13,"GT","NL",NA,0,0,NA,NA,"FN",NA,NA,"AMK"
"2013-05-16",2013,136,13,"GT","NL",NA,9,0,NA,"NK, BL","FN",NA,NA,"JL, RSP"
"2013-06-25",2013,176,13,"GT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-04-29",2013,119,13,"GT","NL",8,0,0,NA,NA,"FN",NA,NA,"AMK"
"2013-07-02",2013,183,13,"GT","NE",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-22",2013,142,13,"GT","NL",0,10,0,NA,"IP, YR","AV",NA,"Rings - 9Z01209-218","JL, ORT, TBB, HANS"
"2013-04-22",2013,112,13,"GT","NL",1,0,0,NA,NA,NA,NA,NA,"JL, RSP"
"2013-05-26",2013,146,13,"GT","NL",0,10,NA,NA,"FL","PV",NA,NA,"AMK"
"2013-06-17",2013,168,13,"GT","NE",0,0,0,NA,NA,NA,"NE",NA,"JL, OJ, JULIA"
"2013-05-30",2013,150,13,"GT","NL",0,10,NA,NA,"FL, RF","AV",NA,NA,"AMK"
"2013-04-09",2013,99,13,"GT","RO",0,0,0,NA,NA,"AT",NA,NA,"AMK"
"2013-05-14",2013,134,13,"GT","NL",NA,1,0,NA,"NK, BL",NA,NA,NA,"AMK"
"2013-06-05",2013,156,13,"GT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-06-11",2013,162,13,"GT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-05-18",2013,138,13,"GT","NL",0,10,0,NA,"NK, BL","FN",NA,NA,"JL"
"2013-04-17",2013,107,13,"GT","N4",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-14",2013,134,14,NA,"N3",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-23",2013,143,14,NA,"N3",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-07-16",2013,197,14,NA,"N3",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-11",2013,162,14,NA,"N3",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-07-02",2013,183,14,NA,"N3",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-25",2013,176,14,NA,"N3",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-22",2013,112,14,NA,"N1",0,0,0,NA,NA,NA,NA,NA,"JL, RSP"
"2013-05-03",2013,123,14,NA,"N3",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-29",2013,119,14,NA,"N2",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-18",2013,169,14,NA,"N3",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-07",2013,127,14,NA,"N3",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-26",2013,146,14,NA,"N3",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-05",2013,156,14,NA,"N3",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-17",2013,107,14,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-17",2013,168,14,NA,"N2",0,0,0,NA,NA,NA,NA,NA,"ORJ"
"2013-04-26",2013,116,14,NA,"N1",0,0,0,NA,NA,NA,NA,NA,"ORJ, LDG"
"2013-04-09",2013,99,14,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-23",2013,143,15,"GT","NL",NA,0,0,NA,NA,"FN",NA,NA,"AMK"
"2013-06-17",2013,168,15,"GT","NE",0,0,0,NA,NA,NA,"NE",NA,"ORJ"
"2013-06-25",2013,176,15,"GT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-05-26",2013,146,15,"GT","NL",7,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-09",2013,99,15,"GT","RO",0,0,0,NA,NA,"AT",NA,NA,"AMK"
"2013-07-02",2013,183,15,"GT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-04-22",2013,112,15,"GT","N1",0,0,0,NA,NA,NA,NA,NA,"JL, RSP"
"2013-07-16",2013,197,15,"GT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-05-07",2013,127,15,"GT","NL",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-26",2013,116,15,"GT","N1",0,0,0,NA,NA,NA,NA,NA,"ORJ, LDG"
"2013-05-03",2013,123,15,"GT","NL",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-18",2013,169,15,"GT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
